,Author,Headline,Article,Date
1045,Kinsuk Basu,Coronavirus pandemic: Test facility overburdened on School of Tropical Medicine - Telegraph India,"The School of Tropical Medicine (STM) will send some of the samples it gets for Covid-19 tests to a private laboratory, the state government has decided in an attempt to reduce the backlog at the Central Avenue facility.“The government has instructed doctors at the STM to hand over samples to representatives of the private laboratory. Representatives will come and collect the samples,” a doctor at the STM said.The STM tests samples from the entire Howrah district, Lady Dufferin Victoria Hospital in Calcutta and the Calcutta Medical College and Hospital, apart from the ones it collects on its campus.A few police stations, including Bowbazar and Hare Street, send samples of their officers to the STM for tests.Over the past few days, the laboratory at the STM has been testing a little over 300 samples daily. Doctors at the institution, set up in 1914, said the rush of samples was such that microbiologists, virologists and lab technicians had been forced to work 12 hours a day.But even that isn’t enough and the backlog keeps mounting, Howrah’s share being the highest. “We received the results of 960 samples from the STM on Thursday. The samples had been sent almost five days before. It would take some time to sort out the positive and negative reports,” Bhabani Das, the chief medical officer of health of Howrah, told Metro. Doctors at the STM said that while the sample load had been rising by the day, there was no proportionate increase in the staff strength. Health department officials said efforts were on to engage technicians trained in conducting polymerase chain tests for Covid-19 from other departments to the eight coronavirus testing centres set up in medical colleges. “We have decided to even pay an incentive of Rs 5,000 to technicians who will agree to work on additional shifts. We are trying our best to arrange for more hands and speed up tests,” said a senior official of the health department.",2020-08-05 00:20:00
1046,Sanjay Mandal,Coronavirus Lockdown: Calcutta missing from first list of flights - Telegraph India,"The Centre on Thursday started an evacuation drive to bring stranded Indians back to the country with Air India operating nearly 70 special flights from across the world and several Indian cities. Calcutta, however, is not on the list in the first phase.Several Calcuttans stuck in other countries said they were desperate to return but did not want to fly back to other cities like Mumbai and Delhi and get quarantined there for at least 14 days. There will be domestic flights connecting Indian cities, too, but Calcutta does not figure on that list either, airline officials said. Priority has been given to states with better quarantine facilities, a civil aviation ministry official said. A senior state official said cities with more stranded people were on the first list. “Individuals stuck in these countries have to register themselves with the Indian embassies there and the external affairs ministry has made a list of evacuees based on these applications. Flights have been scheduled to Indian cities with greater demand,” the Bengal official said on Thursday. “If Calcutta has enough demands from people stuck in a particular country, the external affairs ministry will designate a flight here as well.”The Centre had asked the Bengal government if there are enough quarantine facilities in the city to accommodate those who return. “We said we do. If required, we can create quarantine facilities for these passengers. That is not a problem,” the official said on Thursday night.Park Street resident Sonal Kapoor is stuck in Abu Dhabi with her visa cancelled. She had gone to Dubai in November on a six-month internship with a market research firm. “After the outbreak of Covid-19, I knew the lockdown would be in place for some time and so I informed the company that I would not continue with the internship. In keeping with the rules, I applied for cancellation of my visa on March 22 and on March 25, it was cancelled by the Dubai authorities,” Sonal said on Thursday from Abu Dhabi.But she has been stuck at a relative's place in Abu Dhabi since. “I have enrolled myself with the Indian embassy here and am awaiting their reply,” she said. “I had to mention the nearest airport in the form, which in my case  is Calcutta. I don't want to land in Mumbai and get quarantined there.”Vikram Tejwani, a Calcuttan studying biotechnology at Leeds University in the UK, was to come home for Easter. “Now, we have been told people in distress like those whose visas have expired, pregnant women and the elderly will get priority,” he said.Air India officials said nearly 70 flights were being operated between May 7 and 15, bringing nearly 20,000 people from the US, UK, UAE, Bangladesh, Singapore and other countries. They would be connecting to cities like Mumbai, Delhi, Calicut, Bangalore, Hyderabad. “The evacuation was planned and the destinations chosen by the government. Air India had no role,” said an Air India official. The airline is charging anything between Rs 15,000 and Rs 1 lakh.",2020-08-05 00:21:00
1048,Subhankar Chowdhury,Coronavirus pandemic: US firm drops job offer to 3 students of IIEST - Telegraph India,"A multinational ride hailing company headquartered in the US has withdrawn its job offer to three engineering students of IIEST, Shibpur, citing “business decision” because of the economic downslide caused by the Covid-19 pandemic.The three students — from the computer science and technology, electronics and information technology departments — had got the job offers last August. They were to join the company as senior community operations specialists, analytics. The students had been promised a compensation package of Rs 8 lakh a year and were expected to join work in Hyderabad in July, an IIEST official said. “Since the company focuses on areas such as trend analytics, pricing analytics and forecast modelling for passengers, it hired the students for the analytics wing,” the official said.The company contacted the students on Wednesday. “It said in a communication to the students that the withdrawal of the offer was a business decision. The economic downslide must have triggered the business decision,” Konika Das, a professor of the electrical engineering department who is in charge of the IIEST publicity cell, told Metro.One of the students said an official of the company had told him that the turmoil in the market because of the pandemic had led to the withdrawal of the offer. “We had suspected that the offer could be rescinded and so got in touch with the company on April 6. The company assured us that there was no threat to the jobs. But a month later, they said what we had been fearing all along,” the student said.An official of the institute’s placement cell said the authorities had in the middle of April written to all recruiters, including the ride hailing company, urging them not to withdraw their offers.  “The ride hailing companies are among the worst hit as no one is venturing out. Even if the lockdown is lifted, the normal volume of rides will not be restored easily,” said the official.The company had informed the students that if they signed the standard acknowledgment release clause, they would receive a lump sum payment equal to six weeks of pay for the role they were offered.Another official of the institute said the compensation worked out to around Rs 1 lakh. Metro reported last week that a global analytics consultancy firm had withdrawn its job offer to 12 engineering students of Jadavpur University, citing constraints because of the pandemic.",2020-08-05 00:21:00
1050,The Telegraph,Lockdown: All quiet at Jorasanko Thakurbari  - Telegraph India,"A deserted Jorasanko Thakurbari on Thursday, on the eve of Rabindranath Tagore's birth anniversary. There won't be the usual singing of Tagore songs at Jorasanko on the poet's birth anniversary on Friday. Hundreds of people gather on this day every year at the house, where Tagore was born in 1861, to hum along during a live concert. The Rabindra Jayanti programme is held in three shifts, starting at 6am. This year, one or two officials of Rabindra Bharati University will garland the poet's bust at Jorasanko. In Santiniketan, the celebrations will be conducted mostly online. Residents, along with citizens of Bangladesh and other countries, will celebrate on an online radio platform.For the past 15 days, Lokayato Santiniketan has been broadcasting programmes for an hour daily starting at 6.30pm. 'We will celebrate Tagore's birth anniversary on the online platform and we are happy that friends from Bangladesh, England and the US will join in,' educationist and Santiniketan resident Manisha Banerjee said. Visva-Bharati will hold a short programme while following social distancing norms. 'Only a few people, including the vice-chancellor, will offer floral tribute to the chair of Tagore and two songs will be sung at Chhatimtala with 20 people in attendance at each place,' a university official said. ",2020-08-05 05:37:00
1052,Brinda Sarkar,"Lockdown: Drone vigil on New Town markets, streets - Telegraph India","New Town is using drones to fly over its markets and streets to ensure residents abide by the lockdown rules.“We had invited companies to demonstrate drone technology and are using it to monitor the situation now,” said Debashis Sen, chairman of New Town Kolkata Development Authority (NKDA). “We are deploying drones in two time slots — from 7am to 9am and 5pm to 7pm — as both are peak shopping hours.”Since shopping is the only activity people are allowed to do outside homes, Sen said it has been noticed that entire families are trying to use it as an excuse to venture out. “So we are letting only one member of the family into markets while others remain in the car,” he said. “The upheaval in the livelihood of daily wage earners has also forced many of them to sit outside markets and sell vegetables. The drones can help us ensure that at least social distancing norms are being adhered to.”The feed from the drones is being streamed live at an NKDA control room and upon any violation a task force is being alerted to go make relevant announcements over mics at the spot or inform the police. “NKDA has 12 markets and we are trying to ensure safety norms as far as possible. But social distancing at the informal street markets — near Shapoorji Pallonji, near Lohapool and near DLF —  is proving tough to maintain.”NKDA has citizen volunteers who keep an eye on the markets. “They alert us when rules are not followed. But the crowd is refusing to listen to  our officials too.” The authorities have now sought help from the Bidhannagar Police to manage the markets.Tech talkThe drones are being flown by Federal Synergies India, a technology company that has its office at Salt Lake’s AMP Vaisaakkhi mall. “Drones are a versatile and effective tool for last-mile connectivity,” says Prayush Poddar, in charge of customer outreach of the company.The air-borne cameras can be flown by a handler on the ground — who can see the flight course on a tab attached to the remote control in his hands — or automatically if the authority informs them beforehand of the specific area to be surveyed. “Sometimes we have noticed crowds at markets, children playing football or cricket or residents heading out for evening walks. The information goes straight to NKDA with GPS co-ordinates.The drones have anti-collision sensors and there are 14 pre-flight checks and balances that have to be ensured before the drones are air-borne. Having registered with the Directorate General of Civil Aviation, they have to follow several guidelines.Poddar, who himself is a drone pilot certified by Federal Aviation Administration of the US, says technology is even available to home deliver lunch to residents during the lockdown. “But the economics has to be looked into,” says Poddar, a resident of GD Block.Sen is open to ideas. “Companies have been approaching us with offers to spray sanitiser from drones or do micing but they will have to demonstrate these features before we take a call. There has to be substantial value addition. It makes no sense to use a drone to do something a car can.”Additional reporting by Sudeshna Banerjee",2020-08-05 08:11:00
1053,Sudeshna Banerjee,Residents come together to organise a series of blood donation camps  - Telegraph India,"With blood banks drying up during the pandemic, residents of New Town have come together to organise a series of blood donation camps in the residential complexes and blocks across the township.With blood banks drying up during the pandemic, residents of New Town have come together to organise a series of blood donation camps in the residential complexes and blocks across the township.The first of these took place at Greenwood Elements in Action Area IID last Saturday.The proposal was mooted by members of two voluntary groups —Cenergy and New Town Forum and News (NTFN) — which have also provided food packets to the impoverished in association with the housing complexes. “We had gone to hand over dry rations to the Eco Park police station for distribution among the needy when I was given a proposal by Alaktika resident Arindam Dutta Chowdhury of Cenergy, asking if our complex could organise a camp. It took us 15 minutes to say yes,” said Arnab Bhowmik, secretary of Greenwood Elements Apartment Owners’ Association.“When we approached North 24-Parganas District Hospital and Blood Bank in Barasat for permission we were told ours would be one of the first civilian camp to be held in North 24-Parganas after the lockdown,” smiled Samaresh Das of NTFN. There would be quite a few restrictions though, the topmost being a cap on the number of donors to avoid a large gathering.“We take bookings for camps three months in advance. When the lockdown was announced, we were directed to cancel all the civilian bookings and attend only the camps organised by the police. It is only in the last week of April that we were granted permission to hold civilian camps as well in view of the rising scarcity of blood. But there could be no more than 30 donors,” said Sumitra Halder, camp-in-charge who came from the blood bank.Bhowmik said initially they were worried about getting 30 donors. “Till yesterday morning, we had only 12 volunteers. The first lady who had registered, Khusboo Bihani, was turned down as her haemoglobin count was lower than required. But even then we reached the required number, including six spot registrations,” he added.A total of 32 people gave blood including four members of the Mishra family. “I am a regular blood donor. When I saw all the precautions being taken, I felt confident about giving blood,” said Akash Mishra. His wife and two sons also donated blood.The camp was held maintaining the health department’s Covid-19 protocol, with the ones collecting blood in personal protective equipment and every donor’s temperature being checked with a thermal gun. “The directive has also specified that everyone maintain social distance, wash hands, wear masks and use sanitisers,” Halder added.“They took all the precautions. This is a great endeavour by residents. We have to remember that coronavirus will not make other diseases go away. So blood will still be needed,” said Hidco chief Debashis Sen, who was invited to attend the camp.Next weekend, camps have been planned at Mallika Malancha and CE Block. “We hope to hold 25 such camps,” said Das.saltlake@abpmail.com",2020-08-05 08:11:00
1054,Brinda Sarkar,Coronavirus lockdown: To call or not to call for help  - Telegraph India,"To call or not to call the domestic help: that is the question. The lockdown is well into the second month and by now residents are exhausted at having to cook and clean all by themselves.From May 4, the government has allowed domestic help in even the red zones but The Telegraph finds that many residents are still in two minds.Strong resolveNandita Ghosh of FE Block is an insulin-dependant diabetic. The pensioner has had two spine surgeries and a knee replacement, because of which she cannot stand for long. “My fingers are paining from scrubbing the kadai and chatu clean,” she gasps, but adds in the same breath: “I will still not let any domestic help into the house. Not till Covid-19 is under control.”It’s the same in DB Block, where Sonali Basak is unable to maintain her huge bungalow by herself. “I am cleaning only part of the house, where I’m staying most of the time,” says the lady, who stays alone. “But I can’t take a chance by letting in the domestic help. I am telling neighbours to refrain too but many of them are not listening. We have to be extra cautious as we have had Covid-positive cases in our very block.”AA Block’s Urmy Palchaudhuri sent her two helping hands on leave even before the lockdown and asked them to cite her example at other houses where they work to seek leave from there as well. Her family members are now washing their own dishes and trudging along.Ashima Dutta Roy is slogging from 6.30am every day and sitting to have lunch at 4pm. “There’s just too much work,” says the FD Block lady whose family has three pets and also feeds the street dogs outside. “But better safe than sorry. Domestic helps are, as it is, low on hygiene. Even on the eve of the lockdown when I asked my help to wash her hands before and after chopping vegetables, she grumbled that it’s a bother! And I could never get her to wear a mask.”Dutta Roy’s help lives in Duttabad, where a Covid-19 case has already been detected.Those who blinkedAt some homes, domestic workers were never discontinued. These are usually homes of the elderly who depend on help living in garages nearby.One such resident hails from BC Block. The elderly man who lives alone had been living on bread and instant noodles for the first few days of the lockdown. But a friend told him of a cook who lives across the street and the man now calls her over to cook twice a week.“My neighbours have been objecting to the lady’s entry but when I asked them for an alternative they had none. Of course I’m scared of Covid but if I live on Maggi is my immunity not reducing even more? When people go to markets are they not undertaking a minimum risk for the sake of sustenance? I am doing the same,” he reasons.The Saha family of GD Block has compromised after a month. “We in GD Block are surrounded by Covid cases in GC, HA, EE blocks… Plus the real risk of spread begins now after the May 4 exemptions.But I cannot slog anymore; my shoulders are paining,” says Sangeeta Saha. “I’ve now left it to fate and asked my cleaning lady to start coming every three or four days.”DA Block resident Saswati Nandi has a care-giver come every morning to look after her ailing husband. “She walks from Muchibazar. I could not have managed any chores if this lady wasn’t there to look after my husband. As for my cleaning lady, she comes once in a while when she goes to the market. Otherwise her neighbours don’t let her leave their locality.”Champa Majhi (name changed) is a domestic help who lives in Kestopur and has started coming to a BE Block house from about two weeks back. “An elderly lady lives alone in that house and she can barely walk, let alone cook for herself. The other houses I work at have asked me not to come but this lady is helpless,” says Champa.The help had tried coming a few times early in the lockdown but claims the cops chased her away from the footbridge. “So now I come at dawn before the police take charge,” she says.End of tetherAt the beginning of the lockdown Debi Kesh bravely asked her helps to stay away but after all these weeks her strength has drained. “I can pull it off for, at most, another month. Beyond that even if I am threatened of catching Covid, I won’t be able to do chores,” says the senior citizen of FE Block.“Today my help tried to come to work but her neighbours didn’t let her. I spoke to her neighbours over phone, citing the government relaxation, but they refused,” Kesh says.Mahasweta Sil of AB Block said her cleaning lady called on Monday to ask if she should resume work. “But since my neighbours haven’t started availing of help yet, I asked her to lie low for a few more days,” she said.Of course, the helps are undergoing great financial problems. “In one neighbour’s house, their help forced her way in and started sweeping the floor. She said her family had nothing to eat and that the household ought to let her work and earn a living again,” says Sil sadly.At CK Block, a resident says she cannot go out to the balcony without someone calling out from the street and asking if they needed someone for chores. Despite the hardship, some residents are scared of employing these freelance workers.“Who knows where they are coming from and how many homes they have worked in before? They may spread infection. We have elderly residents at home and cannot take that chance,” says Raka Chaudhuri of AD Block.One of Chaudhuri’s helps comes by train from Khardah and with train services suspended, she need not mull over whether or not to allow the help to come. Her other help lives in Kestopur but is unable to come. “I am managing for now but don’t know how long we can keep going like this.”Complex calculationFaced with mounting pressure from residents, Uniworld City is contemplating a system whereby domestic help can be allowed in a phased manner. “There are about 970 part-time household staffers in our complex, each with her identity card number. We plan to divide the number by three. Those with numbers that are multiples of three, get to come one day. Those that are not multiples of three and are odd numbers get to come the next day. Those that are not multiples of three and are even numbers come on the third day. The cycle gets repeated after this. But no decision has been taken as voices are strong on both sides. We are still collecting data on how many residents need their domestic help to come,” said Pradipta Dutta, a member of the Kolkata Uniworld City Apartment Owners’ Association board.Some housing societies have had residents driving out in their cars and coming back with the cook or domestic help in the backseat, despite their entry being banned by the committee.The debate over resumption of their service is doing the rounds of residents’ social media groups, with people asking for suggestions, sometimes resulting in heated debates. Some argued for their return claiming that with workplaces reopening, albeit with reduced staff, an office-goer in the family would have as much chance of picking up the infection and becoming an asymptomatic carrier as the cook or the help coming in. Others defended the re-entry claiming their help did not work at any other house but was faced with the counterpoint that the person would still be exposed to common areas in the complex and could pick up an infection from there. Another emerging voice was for resumption of life, claiming one would have to learn to live with the virus.There’s also the question of payment. While all residents spoken to said they had paid the helps’ first month’s salaries in full, thereafter many would be paying half the sum. “I’ll pay them in full till May,” says Anindita Saha of CE Block. “Let’s give our helps a break for a few months. We can all make small sacrifices. And besides, compared to their problems, we have no right to complain.”Whatever the fate of domestic helps, drivers living close by are still being asked to report for work. But with nowhere to go to, the drivers are being reduced to delivery boys, doing the shopping for the family.Additional reporting by Sudeshna Banerjee",2020-08-05 08:11:00
1058,Sudeshna Banerjee,Taking precautions against dengue ahead of monsoon - Telegraph India,"The New Town Kolkata Development Authority (NKDA) is taking precautions against dengue ahead of monsoon. “Just because Covid-19 is taking its toll does not mean dengue will spare us,” said NKDA chairman Debashis Sen.Fumigation has been done in several places. “Another method is working even better. We are identifying breeding spots of larvae and spraying larvaecide there. We deployed a boat in Kestopur Canal, which flows to the east of New Town by Sanjeeva Town, to eliminate larvae hotspots in the water with BTI (Bacillus thuringiensis subspecies israelensis, a group of bacteria used as biological control agents for larvae). We did it intensively over a week. The canal is rather dirty, because of sewerage discharge and stagnant, which is ideal for mosquito breeding.” BTI is also being sprayed in under-construction buildings and wherever else stagnant water is being found.NKDA has set up a volunteer group to monitor the mosquito situation. “They talk to residents in their respective areas to check if the mosquito menace has reduced. Till last winter, we could not hold programmes at Eco Park without burning mosquito repellent coils,” Sen said.A video conference was held with the volunteers last Saturday to seek feedback on whether the situation had improved after the vector control drive. ",2020-08-05 08:41:00
1060,Snehal Sengupta,"Lockdown: Covid cases found in Mizoram House, CAP camp - Telegraph India","Four more cases of Covid-19 have been detected in Salt Lake over the past week and one of them, a 74-year-old cancer patient from Mizoram, has died.The patients having tested positive recently are one each from Duttabad and Calcutta Armed Police (CAP) camp quarters, next to AE Block, and two from IB Block’s Mizoram House. This includes the patient who died.The 74-year-old resident of Aizawl had come to Calcutta in March for treatment of cancer. He was admitted to a Salt Lake hospital on April 10 and discharged a few days later. But he was admitted once again on April 30. At around the same time, a 55-year-old man, also staying at Mizoram House, was admitted to the same hospital. Both tested positive for Covid-19 and the elderly man died on Sunday.Police and civic officials have now turned IB Block into a containment zone. They have sealed off the lane from the Amul Island till Big Bazaar.“We now have 84 guests at Mizoram House, out of whom around 19 have been sent to a government quarantine centre and the rest have been confined here itself,” said an official of Mizoram House. “We also have two houses in IB Block which are used to accommodate additional guests. The staff there have been cautioned too.”Pranay Kumar Ray, the mayoral council member in charge of the health department of Bidhannagar Municipal Corporation, said they would ensure the delivery of food and essentials to Mizoram House. “We have requested police to ensure nobody steps out of the building and are in constant touch with the building authorities. We will provide them all possible help,” Ray said.He also said they had sanitised all the lanes of IB Block.More containment zonesThe Covid-19 patient from Duttabad is a 32-year-old housekeeping staffer of a private hospital off EM Bypass. The man has been hospitalised and four of his family members are quarantined at a government unit. At CAP camp, a police constable has tested positive.  In all these areas, police has tightened security and is monitoring the movement of people. Including the cases of the previous weeks, the township now has more than a dozen sealed-off areas, a civic official said.In the list of containment zones released on Tuesday night, FD, GC, HA, DB blocks, Mizoram House and Duttabad have been mentioned other than Basanti Debi Colony in Chingrihata.In New Town, AL Block is the sole containment zone in Hidco-administered area. “A resident has tested positive there and has been admitted to MR Bangur Hospital. The family has been kept in isolation,” said a Hidco official. The list includes Gouranganagar Dhalai Bridge and Rekjoani in adjoining Rajarhat panchayat area as well as Chinar Park, Charnock Hospital, Haldiram and Samarpally, Kestopur among the Bidhannagar Municipal Corporation-administered areas nearby.",2020-08-05 08:42:00
1062,Snehal Sengupta,"Lockdown: Baton charge, ID proof check for liquor queues - Telegraph India","So long were the queues in front of liquor shops on the first day that the government allowed them to open that police had to resort to baton charges even before the shops opened.After a long dry spell, booze shops finally opened on Monday and tipplers had started forming queues from the morning itself. The shops finally opened at 3pm but before that police resorted to mild baton charges to prevent crowding.One hub was the City Centre area around which three shops opened — Silver Sands Bar and Restaurant opposite the petrol pump, Farina Bar and Restaurant on the other side opposite the petrol pump, and on the ground floor of Hotel Aayash, opposite De Sovrani hotel.Suman Bhattacharya, a sub-inspector of the Bidhannagar North police station who was posted at the stretch covering these three shops, said they faced an uphill task ensuring social distancing. “Most of the people are standing close to each other. I had to ask several of them to either wear masks or stand well apart in the queues,” he said.    An elderly man was overheard advising youths in the queue to stand apart for good reason. “Else neither you nor I will get a bottle,” he said.From Tuesday, the shops started opening at noon and shutting at 6pm but the size of the crowds only swelled further.“The queues got so long that we had to start checking ID proofs of those in line,” said Bhattacharya. “This was to prevent outsiders.Tarit Kumar Dutta, an employee of Silver Sands, said he had never seen such long queues. “I have been manning the counter here for years and have never seen anything like this before. Most people are confused about the additional 30 per cent being charged as state tax while several are miffed that we are giving out only two bottles per person as per the directives of the government,” said Dutta.",2020-08-05 10:05:00
1063,The Telegraph,Lockdown: Posture tips for work for home - Telegraph India,"Should I get down on all fours and mop the floor?” is a common question physiotherapist Shipra Kumari has been facing from patients ever since the lockdown started and the answer is a strict “no”.With most domestic workers out of the picture, residents are having to cook and clean by themselves and Kumari, who runs Alexa Active Aging healthcare services at New Town’s Snehodiya senior citizen’s home, has been receiving many a call about the right way to perform chores.“In every other house, there is a homemaker suffering from pain in the back or legs and in some cases, this dates back to well before the lockdown. Women have been suffering for years because of wrong posture while conducting chores,” saysKumari, who lives in New Town’s BB Block.The good news is that much of the pain and many of the injuries associated with chores are avoidable. “ Low back pain, neck pain, tennis elbow, plantar fasciitis (heel pain) can all be avoided if your posture is correct,” Kumari says, sharing some tips with The Telegraph.While cleaningWhen mopping the floor: Again, do not get down on all fours. Use a mop with a vertical stick attached and keep your back and neck straight while at it. Do not stoop as the awkward position will lead to back pain.Often people’s backs start aching while sweeping or mopping but they continue just so they can get over with the chore at one go. Do not do this. If you are in pain, take rest.While washingLaundryWhen loading the washing machine: Do not bend over. This is for front-loading machines. Keep a stool in front of the machine or get down on one knee so you can comfortably put clothes in. Do not try to stuff in clothes while standing and bending over.When hanging up clothes to dry: Forget about wringing them. The repetitive wrist action can lead to injuries.At the marketWhen returning with bags full: Don’t carry everything in one hand. Divide bags equally so both your hands lift more or less the same amount of weight. When lifting heavy bags, squat slightly and bend your knees. Do not stoop over and try to lift the bags. You’ll hurt your back.Slip riskUse non-slip surfaces and anti-fatigue mats to prevent slippage and to stand comfortably.Always wear slippers at home and make sure they have some cushioning and anti-slip soles, especially under the heels. Don’t wear completely flat slippers. The “Crocs” variety are suitable.In painIf you indeed incur an injury or develop pain doing chores, apply cold pack. You can continue this for seven days as the pain is initially acute. Thereafter apply hot pack, but consult a doctor.In the kitchenWhen chopping vegetables: It is best to use automated devices available in the market. If you have these gadgets, use them to chop, peel and grind vegetables so you are spared repetitive motion of your hands. Repetitive motion for upper arms, elbows, forearms and wrists is defined as more than 10 repetitions per minute. For activities involving the shoulders it is more than 2.5 repetitions per minute. These can lead to musculoskeletal injuries.If you do not have these gadgets and have to chop veggies manually, make sure your elbow is not pressed against the table for too long. This can lead to a kind of pain called carpal tunnel syndrome.Also ensure your knives, scissors etc have adequate padding and good grip at the sharp edges lest you stress your hands.When kneading dough: Alternate yours hands. The idea is to avoid repetitive motion. So after a few times of kneading the dough with your dominant hand, switch over the to the other and return to the first again. But once again, it’s best to use dough-makers and roti makers.When washing dishes: Do not stand at the sink for hours at a stretch. Any static posture is bad for the body, where static posture is defined as body positions held without movement for more than 10 seconds.Place a footstool in front of you and keep one leg on it. After a while, change legs. This will shift body weight and reduce stress on the legs and lower back.It is also a good idea to pull up a stool and sit while at it. Else people can get plantar fasciitis, that causes heel pain.When reaching for a utensil: Don’t try to reach too high and far, especially beyond the point of comfort. Move yourself close to the utensil before pulling it to you.Try storing items on shelves between knee and shoulder-height to avoid excessive torso flexion to reach them. If the object is too high above, stand on a stool before reaching for it. Also, face the objects you are working on; do not twist and reach behind or to the sides of the body.The shelf design matters too. It is ergonomical to use sliders.When lifting a heavy container: Simply don’t. Instead of one heavy container of flour, divide the contents into three small containers that will be easier to lift. If this cannot be avoided, remember that it is easiest to lift heavy items from mid-height. Never place heavy boxes on the ground or ground-level shelves as you can injure yourself lifting them.In case of objects like gas cylinders, keep them on wheels at the bottom so you can gently pull them in and out instead of lifting dead weight.When bending over: Sit on a stool or chair instead. This is better than squatting, kneeling or hunching while working.When carrying food to the table: Do not try to carry bowls that are slippery, too hot or unevenly balanced. This will avoid accidents.When working for longStretches: Try job rotation. For instance, while washing dishes, take frequent breaks. Stretch your hands, neck, do “tadasana” by lifting your arms over your head or simply tend to some other chore before returning to the dishes.",2020-08-05 10:07:00
1064,A Staff Reporter,Actor Nigel Akkara lends hand in Ward 30 sanitisation - Telegraph India,"Ward no 30 had a celebrity visitor to kick off sanitisation in the area. Nigel Akkara, actor and entrepreneur, spearheaded a drive over two days.As he and three of his colleagues from Kolkata Facilities Management made the rounds of AH, BH, BG, CG blocks, Police Abasan, Banashree Abasan and Baisakhi Abasan, an announcer in a pilot vehicle asked residents to shut their windows and remove clothes from verandahs. “We have amid us the actor Nigel Akkara,” the announcer said. But if curious faces tried to catch a glimpse, they were urged to get back inside.“We are spraying hydrogen peroxide, silver nitrate and sodium hypochrolite mixed with water. The process is called misting. Our company used to sanitise containers. After Covid-19 broke out, we started getting requests to sanitise offices. This is the work I did when I came back to the mainstream. But once the lockdown was announced, my chemicals and machines fell idle. So I offered sanitisation as a voluntary service and approached various civic bodies. Chairperson of Bidhannagar Municipal Corporation Anita Mandal took up my offer,” said Nigel, wearing his long hair in a pony tail, his bearded face partially hidden behind a mask.Written with inputs from Debasmita Bhattacharya",2020-08-05 10:07:00
1065,Sanjay Mandal,Coronavirus Lockdown: 70km cycle ride to Kolkata for work and hope   - Telegraph India,"A 57-year-old man from North 24-Parganas cycled for about 70km to his leather goods manufacturing unit in Kasba on May 5 when the company resumed operations amid the lockdown. Dilip Kumar Dutta said he wanted to get back to work after sitting at home for more than a month. Another worker at the same factory, Rehmatullah Laskar, 37, also cycled for 50km to work from his home in South 24-Parganas because he was scared he would lose his job if he didn’t report for duty.The company’s officials said they were flooded with requests from workers eager to get back to work but had to refuse many because of the government restrictions on manpower. Dilip set off from his home in Habra on his bicycle around 8am and reached the Kasba Industrial Estate at 6pm. He said the six-hour ride took much longer because he had to take several breaks on the way. North 24-Parganas being a red zone for Covid-19, no public transport was available.Before the lockdown, Dilip would cycle to Habra station, 3km from his home, and take a local train to Ultadanga or Ballygunge, from where he would take a bus or an auto to the factory in Kasba. “At my age, it is extremely difficult to ride the bicycle for almost 70km. But when I got a call from my factory manager that operations were going to resume, although on a smaller scale, I felt the urge to join work,” said Dilip, who is the superviser of the sample production unit at the factory. “If I don’t go to work, other boys in the sample production unit would become almost non-functional.”Dilip received his monthly salary of about Rs 30,000 last month though the factory was closed because of the lockdown. “But if production had remained stalled for longer, we would all be affected. So it was important to start operations,” said Dilip, who has been working at the unit since 2008.The Kasba unit opened after the relaxations announced by both the Centre and the state. On May 4, Dilip received an e-pass from his company that allowed him to travel and join work.The seat of his bicycle started giving trouble on the way. No repair shop was open but he went to a mechanic’s home and urged him to fix the seat.“I was carrying several bottles of water, a few of them containing water mixed with salt and sugar and some containing glucose water. I was wearing a cap to protect myself from the sun, besides a mask and gloves,” Dilip said. “I stopped at a sweet shop on Jessore Road and took several more breaks. I would sit under the shade of a tree and rest for half an hour or so.” His wife called him several times, worried that he could fall ill.Dilip was stopped at several police checkpoints but allowed to proceed after he showed his documents.Dilip’s team member, Rehmatullah, had started from his home at Dakshin Barasat in South 24-Parganas around 4am. He, too, had to cycle to work since local trains were not operating. He took two short breaks on the way and reached Kasba around 7am.“I was given the choice of joining now or wait for the lockdown to get over. But this is the time when samples for the coming season in Europe and other places are delivered to customers every year. This year already it’s late and I was very worried about what would happen if the orders were cancelled because of the delay in production,” said Rehmatullah, who has been working with the company for a year.“The company has paid me my salary till date but if the orders are cancelled then I may lose my job. So I was desperate to join work,” said Rehmatullah, who has his wife and four sons to support.Rehmatullah’s wife and parents asked him not to venture out amidst lockdown but he didn’t listen.Both Dilip and Rehmatullah are now staying at the manufacturing unit along with other workers.",2020-08-05 21:47:00
